66 440
1 11 10
1 29 9
1 31 1
1 38 -7
1 14 -5
1 50 -5
1 44 6
1 66 -3
1 21 3
2 32 -6
2 7 1
2 25 6
3 32 1
3 47 4
3 14 0
3 23 -2
3 6 3
3 21 -5
3 48 -5
3 40 -3
4 66 -4
4 37 -5
4 10 10
4 15 9
4 14 4
4 2 7
4 8 -1
5 64 -4
5 21 6
5 63 8
5 54 7
5 3 7
5 17 -4
6 12 -3
6 64 1
6 65 5
6 2 3
6 50 1
6 61 0
6 26 9
6 7 -2
7 58 7
7 2 -7
7 66 7
8 50 -2
8 26 1
8 47 4
8 64 -4
9 62 -3
9 41 0
9 17 -3
9 31 4
9 46 10
9 26 2
9 36 -4
9 40 3
9 16 -5
10 43 2
10 46 -1
10 1 -9
10 39 -9
10 57 0
10 47 1
10 52 -10
10 32 8
10 58 3
10 35 6
11 58 7
11 6 8
11 10 6
11 14 -9
11 48 2
11 51 4
11 4 10
11 21 -5
12 22 -5
12 28 6
12 53 9
12 42 -10
12 56 -5
12 40 7
12 63 -7
12 60 0
13 60 -3
13 15 6
13 55 -2
13 37 5
13 19 9
13 6 2
13 26 2
13 28 -5
13 58 -10
14 45 0
14 6 3
14 32 4
14 7 -8
14 15 3
14 31 10
15 19 9
15 10 0
15 23 -3
15 42 9
15 53 7
15 51 -10
15 3 4
16 65 2
16 37 7
16 6 -6
16 10 -10
16 8 8
16 35 -7
16 58 8
16 26 -6
16 17 -9
17 37 -2
17 26 -1
17 38 9
17 43 -3
17 63 -8
18 38 5
18 61 1
18 27 -10
18 65 -1
18 37 -10
18 1 -10
18 3 -4
19 49 -8
19 31 10
19 6 0
19 60 -6
19 46 -10
19 26 -4
19 7 3
20 34 2
20 41 6
20 52 -1
20 62 -8
20 56 4
20 32 -4
20 11 -10
20 21 10
20 51 -9
21 62 9
21 48 -7
21 10 9
21 5 -8
21 23 -8
21 28 9
21 66 6
21 64 -6
21 16 10
22 5 5
22 56 6
22 65 9
22 3 9
22 45 -1
22 47 -1
22 23 9
22 66 -2
22 26 1
22 11 -8
23 22 9
23 32 -4
23 14 -9
23 27 10
23 43 5
24 53 -5
24 12 8
24 60 4
24 55 8
24 15 -10
24 18 10
25 46 -6
25 19 7
25 47 -8
25 20 -5
25 52 -4
25 64 -1
25 22 8
25 40 -2
26 44 0
26 65 1
27 16 9
27 28 -2
27 51 3
27 26 -2
28 27 -1
28 30 -9
28 4 -3
28 31 -2
28 39 -2
29 51 -3
29 3 8
29 15 8
29 42 3
29 56 2
30 25 -9
30 24 2
30 39 -6
30 20 3
30 27 8
30 6 5
30 15 6
31 25 0
31 3 -6
31 53 3
31 33 7
31 56 1
32 49 5
32 6 6
32 64 10
32 48 -10
32 46 5
32 36 -7
33 22 0
33 51 -3
33 8 6
33 27 10
33 45 9
33 31 -6
34 46 2
34 49 6
34 7 -5
34 30 -9
34 33 2
34 9 10
34 58 -4
34 14 5
34 51 8
34 44 -9
34 4 10
34 3 0
34 37 9
35 49 5
35 65 6
35 25 -2
35 50 1
35 61 -3
36 24 -8
36 66 10
36 22 -1
36 26 -10
36 10 6
36 30 -6
36 52 -2
36 38 -2
36 3 3
36 63 -6
37 12 1
37 32 3
37 14 9
37 18 8
38 33 2
38 29 -9
38 56 -1
38 31 3
38 3 2
38 37 -6
39 53 -3
39 5 -7
39 13 -8
39 21 2
39 34 10
39 16 0
39 10 9
40 30 0
40 32 -4
40 4 8
40 31 -10
40 17 -3
40 6 -2
40 28 6
40 2 -8
41 34 4
41 47 -10
41 30 6
41 35 -3
41 44 -5
41 63 -5
41 51 -10
41 10 4
41 17 -3
41 25 -6
42 15 3
42 36 -9
42 18 -7
42 52 -2
43 19 4
43 56 -8
43 4 2
43 13 -4
43 64 -9
43 39 3
44 31 4
44 46 -6
44 6 5
44 48 -9
44 21 -1
44 35 -5
44 29 1
44 1 7
44 9 4
44 58 3
44 24 5
44 18 10
45 12 1
45 46 -10
45 9 -2
45 11 -5
45 26 -6
45 64 0
46 2 -9
46 65 10
47 31 1
47 54 4
47 26 -1
48 49 10
48 34 2
48 32 10
48 5 10
49 14 4
49 58 3
49 12 1
49 36 0
49 43 -3
49 2 -6
50 23 -4
50 41 -4
50 18 -6
50 12 9
50 10 -2
50 13 -5
50 53 9
50 19 -1
50 7 -7
51 56 0
51 50 5
51 13 9
51 53 0
51 26 -3
51 36 -9
52 63 -10
52 54 9
52 44 9
52 29 9
52 31 -5
53 32 -3
53 59 6
53 17 -8
53 51 8
54 63 1
54 23 2
54 18 -2
54 30 9
55 59 -7
55 49 3
55 27 5
56 11 0
56 36 2
56 44 4
56 25 -4
56 42 7
56 29 8
57 19 -8
57 49 -5
57 18 -4
57 20 -4
57 48 -6
57 2 -1
57 53 1
57 45 -10
57 41 -2
57 54 -3
57 63 8
58 19 9
58 23 6
58 34 -2
58 14 3
58 44 2
58 2 -3
58 54 -7
59 28 3
59 12 2
59 53 -5
59 50 9
60 37 5
60 65 -6
60 24 -2
60 22 8
60 61 10
60 43 -5
60 19 -5
60 53 1
60 41 8
61 28 6
61 33 8
61 25 8
61 42 4
61 14 -4
61 21 -10
61 44 1
61 40 1
61 10 -1
61 60 2
62 65 10
62 19 -10
62 43 -10
62 47 10
62 20 4
62 16 -8
62 32 -5
62 56 -10
63 12 -7
63 4 -9
63 51 1
63 25 -4
63 35 -3
63 46 9
63 49 5
64 2 8
64 31 2
64 7 -3
64 17 4
64 63 5
64 53 -4
64 16 2
65 8 -1
65 39 2
65 64 9
65 54 5
65 26 7
66 7 -1
66 43 -8
66 1 8
66 21 10
66 49 3
66 50 10
66 4 2
66 59 -6
66 20 8
